,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
315593,MA010120220809591770,오아르,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100102010053,1,대지,201,53.0,서울특별시 마포구 동교동 201-53,114403112014,서울특별시 마포구 동교로,185.0,,1144012100102010053022047,,서울특별시 마포구 동교로 185,121819,3992,,2,,126.921812854073,37.5570863193005
315798,MA010120220809666956,본로고스,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103450001,1,대지,345,1.0,서울특별시 마포구 서교동 345-1,114403113015,서울특별시 마포구 어울마당로,120.0,,1144012000103450001010099,,서울특별시 마포구 어울마당로 120,121837,4055,,4,,126.923526376779,37.555200763025
315923,MA010120220809702668,368디자인,,M1,과학·기술,M112,전문 디자인,M11201,인테리어 디자인업,M73201,인테리어 디자인업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103470021,1,대지,347,21.0,서울특별시 마포구 서교동 347-21,114403113015,서울특별시 마포구 어울마당로,130.0,,1144012000103470021024741,기린빌딩,서울특별시 마포구 어울마당로 130,121837,4053,,3,,126.924502352231,37.5558043432705
316081,MA010120220809637567,골든크레마,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101640013,1,대지,164,13.0,서울특별시 마포구 동교동 164-13,114403113015,서울특별시 마포구 어울마당로,121.0,,1144012100101640013011774,,서울특별시 마포구 어울마당로 121,121817,4050,,4,,126.923532509153,37.5555612345446
317263,MA010120220810001883,하나공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101650008,1,대지,165,8.0,서울특별시 마포구 동교동 165-8,114403113014,서울특별시 마포구 양화로,156.0,,1144012100101650008027133,LG팰리스빌딩,서울특별시 마포구 양화로 156,121754,4050,,,,126.923434201278,37.5561009615472
317892,MA010120220810205920,지에스엠,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101560002,1,대지,156,2.0,서울특별시 마포구 동교동 156-2,114403113014,서울특별시 마포구 양화로,175.0,,1144012100101560002022656,마젤란21오피스텔,서울특별시 마포구 양화로 175,121816,3994,,,,126.924349898273,37.5577491983899
318166,MA010120220810157409,엔스테드컴퍼니,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103470018,1,대지,347,18.0,서울특별시 마포구 서교동 347-18,114404139464,서울특별시 마포구 와우산로27길,70.0,,1144012000103470018026923,,서울특별시 마포구 와우산로27길 70,121837,4053,,1,,126.924981525104,37.5555383955097
318619,MA010120220810306670,한국교육자격평가원,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100102000034,1,대지,200,34.0,서울특별시 마포구 동교동 200-34,114404139112,서울특별시 마포구 동교로27길,3.0,12.0,1144012100102000034012074,동교동빌딩,서울특별시 마포구 동교로27길 3-12,121819,3993,,2,,126.922623011614,37.558201992543
318797,MA010120220810423310,뷰티라운지의원,,Q1,보건의료,Q102,의원,Q10204,피부/비뇨기과 의원,Q86201,일반의원,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101650005,1,대지,165,5.0,서울특별시 마포구 동교동 165-5,114403113014,서울특별시 마포구 양화로,162.0,,1144012100101650005011786,좋은사람들빌딩,서울특별시 마포구 양화로 162,121755,4050,,13,,126.923859692452,37.5564202041951
319061,MA010120220810387032,큐오엘,,S2,수리·개인,S208,욕탕·신체관리,S20803,체형/비만 관리,S96129,체형 등 기타 신체 관리 서비스업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103470021,1,대지,347,21.0,서울특별시 마포구 서교동 347-21,114403113015,서울특별시 마포구 어울마당로,130.0,,1144012000103470021024741,기린빌딩,서울특별시 마포구 어울마당로 130,121837,4053,,3,,126.924502352231,37.5558043432705
319596,MA010120220811089982,윌시,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101560002,1,대지,156,2.0,서울특별시 마포구 동교동 156-2,114403113014,서울특별시 마포구 양화로,175.0,,1144012100101560002022656,마젤란21오피스텔,서울특별시 마포구 양화로 175,121816,3994,,,,126.924349898273,37.5577491983899
